transaction_id,transaction_item_id,request_type,request_method,suggestion_offered,suggestion_accepted,extracted_phrase,nlp_confidence,nlp_model_version,processing_timestamp,raw_nlp_output,extracted_entities,created_at
1,1,unsure,verbal,True,True,really,0.99,gpt-4-turbo,2025-02-11 12:33:07,{'raw': 'Dinner entire national modern.'},{'entity': 'PM'},2025-02-26 00:37:00
1,2,unsure,pointing,False,True,kitchen,0.78,gpt-4-turbo,2025-05-19 02:41:46,{'raw': 'Public south order over.'},{'entity': 'side'},2025-04-01 11:53:57
1,3,branded,pointing,True,False,positive,0.92,gpt-4-turbo,2025-03-23 23:33:35,{'raw': 'Security fine two anyone.'},{'entity': 'teach'},2025-01-31 19:33:42
2,4,unsure,indirect,True,False,available,0.99,gpt-4-turbo,2025-03-22 19:26:37,{'raw': 'Market political main opportunity analysis old reason.'},{'entity': 'region'},2025-03-28 00:33:39
2,5,branded,verbal,False,True,conference,0.76,gpt-4-turbo,2025-01-02 10:54:44,{'raw': 'Although might person.'},{'entity': 'million'},2025-05-05 02:23:25
2,6,unbranded,indirect,True,False,almost,0.74,gpt-4-turbo,2025-01-24 03:06:21,{'raw': 'Which meeting piece save beautiful structure.'},{'entity': 'great'},2025-01-14 10:48:33
3,8,unsure,indirect,False,False,write,0.75,gpt-4-turbo,2025-02-15 00:13:38,{'raw': 'Create price soon others.'},{'entity': 'not'},2025-01-09 13:22:16
3,9,unbranded,indirect,True,False,animal,0.9,gpt-4-turbo,2025-03-07 15:49:28,{'raw': 'Behind through indeed dinner them ahead.'},{'entity': 'couple'},2025-02-02 21:07:35
4,11,unsure,indirect,False,True,respond,0.77,gpt-4-turbo,2025-05-02 23:08:02,{'raw': 'Trouble technology process necessary marriage her college light.'},{'entity': 'yes'},2025-04-10 21:29:06
4,12,branded,pointing,True,True,through,0.83,gpt-4-turbo,2025-06-10 00:39:58,{'raw': 'Manage front system home employee response everybody.'},{'entity': 'these'},2025-05-20 21:44:11
5,13,unbranded,indirect,False,False,meet,0.9,gpt-4-turbo,2025-02-13 22:58:03,{'raw': 'Couple scene age shoulder open technology idea hair.'},{'entity': 'treatment'},2025-02-02 10:30:00
6,18,unbranded,pointing,False,False,side,0.97,gpt-4-turbo,2025-01-04 06:21:36,{'raw': 'Give part once old.'},{'entity': 'act'},2025-01-23 05:05:13
8,22,branded,pointing,True,False,present,0.64,gpt-4-turbo,2025-06-03 07:29:25,{'raw': 'Stuff region national computer feel light sit.'},{'entity': 'can'},2025-06-18 08:22:41
8,24,branded,pointing,False,True,second,0.89,gpt-4-turbo,2025-03-25 00:21:53,{'raw': 'Open instead morning discuss.'},{'entity': 'total'},2025-05-13 23:17:44
9,25,unbranded,indirect,False,True,wish,0.93,gpt-4-turbo,2025-06-07 17:00:28,{'raw': 'Hope strategy meeting foreign understand avoid there role.'},{'entity': 'food'},2025-02-26 18:42:43
